,右髋关节,,右膝关节,,左髋关节,,左膝关节
图像处理,传感器,图像处理,传感器,图像处理,传感器,图像处理,传感器
0.9155,0.9155,8.1787,8.1787,-25.0244,-10.498,-7.2632,-7.2632
10.498,5.3101,83.252,58.6548,-48.0957,-25.0244,-19.9585,-15.3809
27.771,10.498,69.519,83.252,-52.6733,-36.9873,-21.4532,-19.9585
50.9033,18.3716,71.5332,75.7446,-36.2549,-48.0957,-22.8271,-20.3126
66.5894,27.771,52.063,69.519,-42.3584,-57.6172,-31.9824,-21.4532
88.8672,38.208,45.3491,70.5566,-42.7856,-60.1196,-15.686,-21.9321
95.0928,50.9033,42.0532,71.5332,-12.6343,-52.6733,-12.0239,-22.8271
94.5435,60.9131,33.5693,64.3921,-8.9722,-42.1143,-2.1362,-29.4189
86.4258,66.5894,32.4235,52.063,-14.8926,-36.2549,-12.9395,-31.9824
65.7959,77.2705,25.9103,44.6167,-28.6865,-37.4146,-14.4653,-18.3105
46.4478,88.8672,23.9868,45.3491,-22.9492,-42.3584,-11.5356,-15.686
26.4893,93.5669,8.3008,45.105,-15.9912,-48.4009,-21.3623,-15.625
2.1973,95.0928,-7.2632,42.0532,-23.9258,-42.7856,-23.9258,-12.0239
-25.0244,95.2148,-19.9585,33.5693,-36.6211,-27.5269,-29.8462,-7.2021
-48.0957,94.5435,-21.4532,33.5693,-31.5552,-12.6343,-28.6865,-2.1362
-52.6733,90.6982,-22.8271,33.2455,-26.3062,-6.897,-26.2451,-7.0801
-36.2549,86.4258,-31.9824,32.4235,-30.2124,-8.9722,-13.9771,-12.9395
-42.3584,76.8433,-15.686,32.2314,-31.1279,-12.0239,-1.6479,-16.4795
-42.7856,65.7959,-12.0239,25.9103,-34.2407,-14.8926,-4.2725,-14.4653
-12.6343,54.1382,-2.1362,25.9326,-34.79,-21.1182,-9.8267,-11.1694
-8.9722,46.4478,-12.9395,23.9868,-23.3765,-28.6865,-9.5215,-11.5356
-14.8926,39.4287,-14.4653,15.8081,-8.1787,-28.6865,-12.8174,-15.625
-28.6865,26.4893,-11.5356,8.3008,0.9155,-22.9492,-1.3428,-21.3623
-22.9492,12.8174,-21.3623,0.4883,10.498,-17.6392,8.1787,-23.6816
-15.9912,2.1973,-23.9258,-7.2632,27.771,-15.9912,83.252,-23.9258
-23.9258,-10.498,-29.8462,-15.3809,50.9033,-18.5547,69.519,-26.6724
-36.6211,-25.0244,-28.6865,-19.9585,66.5894,-23.9258,71.5332,-29.8462
-31.5552,-36.9873,-26.2451,-20.3126,88.8672,-30.9448,52.063,-29.48
-26.3062,-48.0957,-13.9771,-21.4532,95.0928,-36.6211,45.3491,-28.6865
-30.2124,-57.6172,-1.6479,-21.9321,94.5435,-35.8887,42.0532,-29.0527
-31.1279,-60.1196,-4.2725,-22.8271,86.4258,-31.5552,33.5693,-26.2451
-34.2407,-52.6733,-9.8267,-29.4189,65.7959,-28.4424,32.4235,-20.4468
-34.79,-42.1143,-9.5215,-31.9824,46.4478,-26.3062,25.9103,-13.9771
-23.3765,-36.2549,-12.8174,-18.3105,26.4893,-28.1982,23.9868,-6.8359
-8.1787,-37.4146,-1.3428,-15.686,2.1973,-30.2124,8.3008,-1.6479
0.9155,-42.3584,8.1787,-15.625,-25.0244,-30.4565,-7.2632,-2.3193
10.498,-48.4009,83.252,-12.0239,-48.0957,-31.1279,-19.9585,-4.2725
27.771,-42.7856,69.519,-7.2021,-52.6733,-31.7993,-21.4532,-7.5684
50.9033,-27.5269,71.5332,-2.1362,-36.2549,-34.2407,-22.8271,-9.8267
66.5894,-12.6343,52.063,-7.0801,-42.3584,-35.9497,-31.9824,-9.5215
88.8672,-6.897,45.3491,-12.9395,-42.7856,-34.79,-15.686,-9.5215
95.0928,-8.9722,42.0532,-16.4795,-12.6343,-30.0293,-12.0239,-11.2305
94.5435,-12.0239,33.5693,-14.4653,-8.9722,-23.3765,-2.1362,-12.8174
86.4258,-14.8926,32.4235,-11.1694,-14.8926,-13.6719,-12.9395,-16.8457
65.7959,-21.1182,25.9103,-11.5356,-28.6865,-8.1787,-14.4653,-23.9258
46.4478,-28.6865,23.9868,-15.625,-22.9492,-4.9438,-11.5356,-22.2168
26.4893,-28.6865,8.3008,-21.3623,-15.9912,0.9155,-21.3623,-1.3428
2.1973,-22.9492,-7.2632,-23.6816,-23.9258,5.3101,-23.9258,8.1787
-25.0244,-17.6392,-19.9585,-23.9258,-36.6211,10.498,-29.8462,58.6548
-48.0957,-15.9912,-21.4532,-26.6724,-31.5552,18.3716,-28.6865,83.252
-52.6733,-18.5547,-22.8271,-29.8462,-26.3062,27.771,-26.2451,75.7446
