,right hip,,right knee,,left hip,,left knee
image?processing?mode,sensor?mode,image?processing?mode,sensor?mode,image?processing?mode,sensor?mode,image?processing?mode,sensor?mode
3.8452,3.8452,3.7842,3.7842,-2.0142,-2.0142,-1.5869,-1.5869
16.7847,10.1929,11.9019,11.0474,-30.2734,-16.1133,-22.3999,-10.4343
28.3203,16.7847,54.8706,11.9019,-58.96,-30.2734,-39.978,-22.3999
47.4854,21.9116,109.9854,32.1045,-71.167,-44.2505,-70.6787,-35.2487
68.7256,28.3203,110.6567,54.8706,-41.9312,-58.96,-61.2793,-39.978
97.5342,37.4756,91.4307,78.2471,-41.3818,-70.1904,-63.2324,-56.4575
104.0039,47.4854,82.1533,109.9854,-40.2222,-71.167,-10.437,-70.6787
91.7969,57.312,68.3943,117.6758,-19.5313,-56.2744,-8.3618,-66.04
74.646,68.7256,48.7671,110.6567,-11.6577,-41.9312,-15.1978,-61.2793
57.4951,86.731,42.2974,97.3511,-48.8281,-39.3066,-15.4419,-72.8149
44.0674,97.5342,15.564,91.4307,-34.668,-41.3818,-33.6304,-63.2324
21.9727,101.9897,-1.5869,91.3086,-26.1841,-41.8701,-32.1045,-18.7988
-2.0142,104.0039,-22.3999,82.1533,-35.3394,-40.2222,-35.0342,-10.437
-30.2734,101.5625,-39.978,70.2515,-37.5366,-33.5083,-36.1328,-17.4561
-58.96,91.7969,-70.6787,68.3943,-30.3345,-19.5313,-32.8979,-8.3618
-71.167,83.1909,-61.2793,53.6499,-27.5879,-7.3853,-31.4331,-5.9814
-41.9312,74.646,-63.2324,48.7671,-23.9258,-11.6577,-16.1743,-15.1978
-41.3818,64.4531,-10.437,44.9322,-24.1699,-31.189,-9.0942,-15.1367
-40.2222,57.4951,-8.3618,42.2974,-24.5972,-48.8281,-6.2866,-15.4419
-19.5313,49.8047,-15.1978,30.6396,-20.752,-48.2178,-7.0801,-24.0479
-11.6577,44.0674,-15.4419,15.564,-9.3994,-34.668,-6.4087,-33.6304
-48.8281,33.2031,-33.6304,4.5493,3.8452,-26.4282,-2.1362,-35.2173
-34.668,21.9727,-32.1045,-1.5869,16.7847,-26.1841,3.7842,-32.1045
-26.1841,10.9253,-35.0342,-10.4343,28.3203,-30.3955,11.9019,-32.6538
-35.3394,-2.0142,-36.1328,-22.3999,47.4854,-35.3394,54.8706,-35.0342
-37.5366,-16.1133,-32.8979,-35.2487,68.7256,-37.7197,109.9854,-35.3394
-30.3345,-30.2734,-31.4331,-39.978,97.5342,-37.5366,110.6567,-36.1328
-27.5879,-44.2505,-16.1743,-56.4575,104.0039,-34.1187,91.4307,-34.1797
