,right hip,,right knee,,left hip,,left knee
image?processing?mode,sensor?mode,image?processing?mode,sensor?mode,image?processing?mode,sensor?mode,image?processing?mode,sensor?mode
4.8218,4.8218,1.8921,1.8921,-15.564,-15.564,-41.8701,-12.7563
31.311,15.8691,28.2593,13.7939,-47.4243,-36.0107,-105.5908,-41.8701
57.251,31.311,118.5913,28.2593,-50.1099,-47.4243,-103.0273,-67.5049
93.5059,46.7529,141.7236,78.0029,-56.0303,-48.7061,-88.1348,-105.5908
126.9531,57.251,134.2773,118.5913,-54.7485,-50.1099,-74.7681,-120.2393
133.9111,69.3359,103.1494,134.1553,-45.5933,-54.2603,14.2212,-103.0273
100.9521,93.5059,74.0356,141.7236,-42.1143,-56.0303,0.1831,-69.9463
56.9458,113.8916,25.3296,135.3149,-57.312,-49.6216,-45.9595,-88.1348
35.0952,126.9531,-41.8701,134.2773,-59.021,-54.7485,-53.4058,-95.9473
-15.564,133.4839,-105.5908,118.8354,-49.3164,-59.7534,-42.2974,-74.7681
-47.4243,133.9111,-103.0273,103.1494,-44.9219,-45.5933,-39.6729,-34.5459
-50.1099,120.2393,-88.1348,97.5952,-33.3252,-38.0249,-38.8794,14.2212
-56.0303,100.9521,-74.7681,74.0356,-30.5176,-42.1143,-24.5972,16.7236
-54.7485,76.8433,14.2212,52.3682,-8.9111,-51.5747,-1.2817,0.1831
-45.5933,56.9458,0.1831,25.3296,4.8218,-57.312,-4.1504,-26.1841
-42.1143,47.4243,-45.9595,-12.7563,31.311,-59.082,1.8921,-45.9595
-57.312,35.0952,-53.4058,-41.8701,57.251,-59.021,28.2593,-56.2134
-59.021,13.2446,-42.2974,-67.5049,93.5059,-54.0161,118.5913,-53.4058
-49.3164,-15.564,-39.6729,-105.5908,126.9531,-49.3164,141.7236,-46.0815
-44.9219,-36.0107,-38.8794,-120.2393,133.9111,-51.6357,134.2773,-42.2974
-33.3252,-47.4243,-24.5972,-103.0273,100.9521,-44.9219,103.1494,-42.8467
-30.5176,-48.7061,-1.2817,-69.9463,56.9458,-37.4146,74.0356,-39.6729
-8.9111,-50.1099,-4.1504,-88.1348,35.0952,-33.3252,25.3296,-36.7432
4.8218,-54.2603,1.8921,-95.9473,-15.564,-32.3486,-41.8701,-38.8794
31.311,-56.0303,28.2593,-74.7681,-47.4243,-30.5176,-105.5908,-35.3394
57.251,-49.6216,118.5913,-34.5459,-50.1099,-22.8882,-103.0273,-24.5972
93.5059,-54.7485,141.7236,14.2212,-56.0303,-8.9111,-88.1348,-10.7422
126.9531,-59.7534,134.2773,16.7236,-54.7485,4.8218,-74.7681,-1.2817
133.9111,-45.5933,103.1494,0.1831,-45.5933,15.8691,14.2212,-4.1504
100.9521,-38.0249,74.0356,-26.1841,-42.1143,31.311,0.1831,-4.1504
56.9458,-42.1143,25.3296,-45.9595,-57.312,46.7529,-45.9595,1.8921
35.0952,-51.5747,-41.8701,-56.2134,-59.021,57.251,-53.4058,13.7939
-15.564,-57.312,-105.5908,-53.4058,-49.3164,69.3359,-42.2974,28.2593
-47.4243,-59.082,-103.0273,-46.0815,-44.9219,93.5059,-39.6729,78.0029
-50.1099,-59.021,-88.1348,-42.2974,-33.3252,113.8916,-38.8794,118.5913
-56.0303,-54.0161,-74.7681,-42.8467,-30.5176,126.9531,-24.5972,134.1553
-54.7485,-49.3164,14.2212,-39.6729,-8.9111,133.4839,-1.2817,141.7236
-45.5933,-51.6357,0.1831,-36.7432,4.8218,133.9111,-4.1504,135.3149
-42.1143,-44.9219,-45.9595,-38.8794,31.311,120.2393,1.8921,134.2773
-57.312,-37.4146,-53.4058,-35.3394,57.251,100.9521,28.2593,118.8354
-59.021,-33.3252,-42.2974,-24.5972,93.5059,76.8433,118.5913,103.1494
-49.3164,-32.3486,-39.6729,-10.7422,126.9531,56.9458,141.7236,97.5952
-44.9219,-30.5176,-38.8794,-1.2817,133.9111,47.4243,134.2773,74.0356
-33.3252,-22.8882,-24.5972,-4.1504,100.9521,35.0952,103.1494,52.3682
-30.5176,-8.9111,-1.2817,-4.1504,56.9458,13.2446,74.0356,25.3296
-8.9111,4.8218,-4.1504,1.8921,35.0952,-15.564,25.3296,-12.7563
4.8218,15.8691,1.8921,13.7939,-15.564,-36.0107,-41.8701,-41.8701
31.311,31.311,28.2593,28.2593,-47.4243,-47.4243,-105.5908,-67.5049
57.251,46.7529,118.5913,78.0029,-50.1099,-48.7061,-103.0273,-105.5908
93.5059,57.251,141.7236,118.5913,-56.0303,-50.1099,-88.1348,-120.2393
126.9531,69.3359,134.2773,134.1553,-54.7485,-54.2603,-74.7681,-103.0273
133.9111,93.5059,103.1494,141.7236,-45.5933,-56.0303,14.2212,-69.9463
100.9521,113.8916,74.0356,135.3149,-42.1143,-49.6216,0.1831,-88.1348
56.9458,126.9531,25.3296,134.2773,-57.312,-54.7485,-45.9595,-95.9473
35.0952,133.4839,-41.8701,118.8354,-59.021,-59.7534,-53.4058,-74.7681
-15.564,133.9111,-105.5908,103.1494,-49.3164,-45.5933,-42.2974,-34.5459
-47.4243,120.2393,-103.0273,97.5952,-44.9219,-38.0249,-39.6729,14.2212
-50.1099,100.9521,-88.1348,74.0356,-33.3252,-42.1143,-38.8794,16.7236
-56.0303,76.8433,-74.7681,52.3682,-30.5176,-51.5747,-24.5972,0.1831
-54.7485,56.9458,14.2212,25.3296,-8.9111,-57.312,-1.2817,-26.1841
-45.5933,47.4243,0.1831,-12.7563,4.8218,-59.082,-4.1504,-45.9595
-42.1143,35.0952,-45.9595,-41.8701,31.311,-59.021,1.8921,-56.2134
-57.312,13.2446,-53.4058,-67.5049,57.251,-54.0161,28.2593,-53.4058
-59.021,-15.564,-42.2974,-105.5908,93.5059,-49.3164,118.5913,-46.0815
-49.3164,-36.0107,-39.6729,-120.2393,126.9531,-51.6357,141.7236,-42.2974
-44.9219,-47.4243,-38.8794,-103.0273,133.9111,-44.9219,134.2773,-42.8467
-33.3252,-48.7061,-24.5972,-69.9463,100.9521,-37.4146,103.1494,-39.6729
-30.5176,-50.1099,-1.2817,-88.1348,56.9458,-33.3252,74.0356,-36.7432
-8.9111,-54.2603,-4.1504,-95.9473,35.0952,-32.3486,25.3296,-38.8794
4.8218,-56.0303,1.8921,-74.7681,-15.564,-30.5176,-41.8701,-35.3394
31.311,-49.6216,28.2593,-34.5459,-47.4243,-22.8882,-105.5908,-24.5972
57.251,-54.7485,118.5913,14.2212,-50.1099,-8.9111,-103.0273,-10.7422
93.5059,-59.7534,141.7236,16.7236,-56.0303,4.8218,-88.1348,-1.2817
126.9531,-45.5933,134.2773,0.1831,-54.7485,15.8691,-74.7681,-4.1504
133.9111,-38.0249,103.1494,-26.1841,-45.5933,31.311,14.2212,-4.1504
100.9521,-42.1143,74.0356,-45.9595,-42.1143,46.7529,0.1831,1.8921
56.9458,-51.5747,25.3296,-56.2134,-57.312,57.251,-45.9595,13.7939
35.0952,-57.312,-41.8701,-53.4058,-59.021,69.3359,-53.4058,28.2593
-15.564,-59.082,-105.5908,-46.0815,-49.3164,93.5059,-42.2974,78.0029
-47.4243,-59.021,-103.0273,-42.2974,-44.9219,113.8916,-39.6729,118.5913
-50.1099,-54.0161,-88.1348,-42.8467,-33.3252,126.9531,-38.8794,134.1553
-56.0303,-49.3164,-74.7681,-39.6729,-30.5176,133.4839,-24.5972,141.7236
-54.7485,-51.6357,14.2212,-36.7432,-8.9111,133.9111,-1.2817,135.3149
-45.5933,-44.9219,0.1831,-38.8794,4.8218,120.2393,-4.1504,134.2773
-42.1143,-37.4146,-45.9595,-35.3394,31.311,100.9521,1.8921,118.8354
-57.312,-33.3252,-53.4058,-24.5972,57.251,76.8433,28.2593,103.1494
-59.021,-32.3486,-42.2974,-10.7422,93.5059,56.9458,118.5913,97.5952
-49.3164,-30.5176,-39.6729,-1.2817,126.9531,47.4243,141.7236,74.0356
-44.9219,-22.8882,-38.8794,-4.1504,133.9111,35.0952,134.2773,52.3682
-33.3252,-8.9111,-24.5972,-4.1504,100.9521,13.2446,103.1494,25.3296
-30.5176,4.8218,-1.2817,1.8921,56.9458,-15.564,74.0356,-12.7563
-8.9111,15.8691,-4.1504,13.7939,35.0952,-36.0107,25.3296,-41.8701
,31.311,,28.2593,,-47.4243,,-67.5049
,46.7529,,78.0029,,-48.7061,,-105.5908
,57.251,,118.5913,,-50.1099,,-120.2393
,69.3359,,134.1553,,-54.2603,,-103.0273
,93.5059,,141.7236,,-56.0303,,-69.9463
,113.8916,,135.3149,,-49.6216,,-88.1348
,126.9531,,134.2773,,-54.7485,,-95.9473
,133.4839,,118.8354,,-59.7534,,-74.7681
,133.9111,,103.1494,,-45.5933,,-34.5459
,120.2393,,97.5952,,-38.0249,,14.2212
,100.9521,,74.0356,,-42.1143,,16.7236
,76.8433,,52.3682,,-51.5747,,0.1831
,56.9458,,25.3296,,-57.312,,-26.1841
,47.4243,,-12.7563,,-59.082,,-45.9595
,35.0952,,-41.8701,,-59.021,,-56.2134
,13.2446,,-67.5049,,-54.0161,,-53.4058
,-15.564,,-105.5908,,-49.3164,,-46.0815
,-36.0107,,-120.2393,,-51.6357,,-42.2974
,-47.4243,,-103.0273,,-44.9219,,-42.8467
,-48.7061,,-69.9463,,-37.4146,,-39.6729
,-50.1099,,-88.1348,,-33.3252,,-36.7432
,-54.2603,,-95.9473,,-32.3486,,-38.8794
,-56.0303,,-74.7681,,-30.5176,,-35.3394
,-49.6216,,-34.5459,,-22.8882,,-24.5972
,-54.7485,,14.2212,,-8.9111,,-10.7422
,-59.7534,,16.7236,,4.8218,,-1.2817
,-45.5933,,0.1831,,15.8691,,-4.1504
,-38.0249,,-26.1841,,31.311,,-4.1504
,-42.1143,,-45.9595,,46.7529,,1.8921
,-51.5747,,-56.2134,,57.251,,13.7939
,-57.312,,-53.4058,,69.3359,,28.2593
,-59.082,,-46.0815,,93.5059,,78.0029
,-59.021,,-42.2974,,113.8916,,118.5913
,-54.0161,,-42.8467,,126.9531,,134.1553
,-49.3164,,-39.6729,,133.4839,,141.7236
,-51.6357,,-36.7432,,133.9111,,135.3149
,-44.9219,,-38.8794,,120.2393,,134.2773
,-37.4146,,-35.3394,,100.9521,,118.8354
,-33.3252,,-24.5972,,76.8433,,103.1494
,-32.3486,,-10.7422,,56.9458,,97.5952
,-30.5176,,-1.2817,,47.4243,,74.0356
,-22.8882,,-4.1504,,35.0952,,52.3682
,-8.9111,,-4.1504,,13.2446,,25.3296
,4.8218,,1.8921,,-15.564,,-12.7563
,15.8691,,13.7939,,-36.0107,,-41.8701
,31.311,,28.2593,,-47.4243,,-67.5049
,46.7529,,78.0029,,-48.7061,,-105.5908
,57.251,,118.5913,,-50.1099,,-120.2393
,69.3359,,134.1553,,-54.2603,,-103.0273
,93.5059,,141.7236,,-56.0303,,-69.9463
,113.8916,,135.3149,,-49.6216,,-88.1348
,126.9531,,134.2773,,-54.7485,,-95.9473
,133.4839,,118.8354,,-59.7534,,-74.7681
,133.9111,,103.1494,,-45.5933,,-34.5459
,120.2393,,97.5952,,-38.0249,,14.2212
,100.9521,,74.0356,,-42.1143,,16.7236
,76.8433,,52.3682,,-51.5747,,0.1831
,56.9458,,25.3296,,-57.312,,-26.1841
,47.4243,,-12.7563,,-59.082,,-45.9595
,35.0952,,-41.8701,,-59.021,,-56.2134
,13.2446,,-67.5049,,-54.0161,,-53.4058
,-15.564,,-105.5908,,-49.3164,,-46.0815
,-36.0107,,-120.2393,,-51.6357,,-42.2974
,-47.4243,,-103.0273,,-44.9219,,-42.8467
,-48.7061,,-69.9463,,-37.4146,,-39.6729
,-50.1099,,-88.1348,,-33.3252,,-36.7432
,-54.2603,,-95.9473,,-32.3486,,-38.8794
,-56.0303,,-74.7681,,-30.5176,,-35.3394
,-49.6216,,-34.5459,,-22.8882,,-24.5972
,-54.7485,,14.2212,,-8.9111,,-10.7422
,-59.7534,,16.7236,,4.8218,,-1.2817
,-45.5933,,0.1831,,15.8691,,-4.1504
,-38.0249,,-26.1841,,31.311,,-4.1504
,-42.1143,,-45.9595,,46.7529,,1.8921
,-51.5747,,-56.2134,,57.251,,13.7939
,-57.312,,-53.4058,,69.3359,,28.2593
,-59.082,,-46.0815,,93.5059,,78.0029
,-59.021,,-42.2974,,113.8916,,118.5913
,-54.0161,,-42.8467,,126.9531,,134.1553
,-49.3164,,-39.6729,,133.4839,,141.7236
,-51.6357,,-36.7432,,133.9111,,135.3149
,-44.9219,,-38.8794,,120.2393,,134.2773
,-37.4146,,-35.3394,,100.9521,,118.8354
,-33.3252,,-24.5972,,76.8433,,103.1494
,-32.3486,,-10.7422,,56.9458,,97.5952
,-30.5176,,-1.2817,,47.4243,,74.0356
,-22.8882,,-4.1504,,35.0952,,52.3682
,-8.9111,,-4.1504,,13.2446,,25.3296
