,right hip,,right knee,,left hip,,left knee
image?processing?mode,sensor?mode,image?processing?mode,sensor?mode,image?processing?mode,sensor?mode,image?processing?mode,sensor?mode
4.56,4.3945,4.83,2.2583,-3.6621,-3.6621,-6.5308,-6.5308
26.54,13.1836,24.54,10.1318,-32.7759,-16.5405,-31.8604,-17.8833
60.08,26.062,60.43,18.0664,-52.7344,-32.7759,-53.6499,-31.8604
81.78,41.687,88.2,40.7715,-64.1479,-41.1377,-48.584,-37.6587
105.81,59.1431,85.46,61.2793,-47.0581,-52.7344,-75.9277,-53.6499
108.48,75.9888,92.78,80.0781,-49.6826,-64.7583,-53.5889,-50.4761
76.67,82.0923,76.55,90.21,-42.4194,-64.1479,-12.5732,-48.584
63.35,90.5151,62.98,90.21,-39.1846,-54.5654,-13.9771,-62.0117
52.82,106.0791,56.43,84.6558,-41.2598,-47.0581,-2.3804,-75.9277
65.77,117.6147,45.88,89.1724,-44.8608,-45.5933,-25.0244,-72.2046
40.5,108.6426,30.76,93.0176,-46.3257,-49.6826,-30.7617,-53.5889
15.12,93.1396,4.6,90.8203,-16.4795,-47.9736,-24.8413,-36.438
-23.11,74.9512,-29.72,76.7822,5.0049,-42.4194,-33.9966,-12.5732
-73.88,63.0493,-55.38,64.0869,21.5454,-38.5132,-31.6772,-7.2632
-70.64,63.0493,-40.56,60.9131,54.3213,-39.1846,-46.6309,-13.9771
-38.33,57.4341,-42.27,60.791,86.0596,-41.4429,-57.9834,-9.8267
-33.75,53.4058,-42.91,55.2368,121.521,-41.2598,-50.0488,-2.3804
-27.42,63.5986,5.36,50.5981,142.8833,-40.7715,-47.4854,-11.6577
-4.12,63.9038,-21.53,45.166,118.103,-44.8608,-54.2603,-25.0244
-15.64,49.4385,-18.99,34.3018,112.3657,-49.4385,-42.5415,-31.7993
-58.24,38.6963,-27.7,28.8696,113.0981,-46.3257,-31.9824,-30.7617
-51.75,27.8931,-32.6,18.7988,80.9937,-32.959,-19.6533,-28.1372
