time,gait(hip),gait(knee),QoE,test1,test2,test3,test4,test5,test6,test7,test8,test9,test10,test11,test12,test13,test14,test15
0.02,4.3945,2.2583,2.933333333,3,4,3,3,3,2,3,3,3,2,4,3,3,3,2
0.04,13.1836,10.1318,2.933333333,3,4,3,3,3,2,3,3,3,2,4,3,3,3,2
0.06,26.062,18.0664,2.933333333,3,4,3,3,3,2,3,3,3,2,4,3,3,3,2
0.08,41.687,40.7715,2.933333333,3,4,3,3,3,2,3,3,3,2,4,3,3,3,2
0.1,59.1431,61.2793,2.933333333,3,4,3,3,3,2,3,3,3,2,4,3,3,3,2
0.12,75.9888,80.0781,2.933333333,3,4,3,3,3,2,3,3,3,2,4,3,3,3,2
0.14,82.0923,90.21,2.933333333,3,4,3,3,3,2,3,3,3,2,4,3,3,3,2
0.16,90.5151,90.21,2.933333333,3,4,3,3,3,2,3,3,3,2,4,3,3,3,2
0.18,106.0791,84.6558,2.933333333,3,4,3,3,3,2,3,3,3,2,4,3,3,3,2
0.2,117.6147,89.1724,2.933333333,3,4,3,3,3,2,3,3,3,2,4,3,3,3,2
0.22,108.6426,93.0176,2.933333333,3,4,3,3,3,2,3,3,3,2,4,3,3,3,2
0.24,93.1396,90.8203,2.933333333,3,4,3,3,3,2,3,3,3,2,4,3,3,3,2
0.26,74.9512,76.7822,2.933333333,3,4,3,3,3,2,3,3,3,2,4,3,3,3,2
0.28,63.0493,64.0869,2.933333333,3,4,3,3,3,2,3,3,3,2,4,3,3,3,2
0.3,63.0493,60.9131,2.933333333,3,4,3,3,3,2,3,3,3,2,4,3,3,3,2
0.32,57.4341,60.791,2.933333333,3,4,3,3,3,2,3,3,3,2,4,3,3,3,2
0.34,53.4058,55.2368,2.933333333,3,4,3,3,3,2,3,3,3,2,4,3,3,3,2
0.36,63.5986,50.5981,2.933333333,3,4,3,3,3,2,3,3,3,2,4,3,3,3,2
0.38,63.9038,45.166,2.933333333,3,4,3,3,3,2,3,3,3,2,4,3,3,3,2
0.4,49.4385,34.3018,2.933333333,3,4,3,3,3,2,3,3,3,2,4,3,3,3,2
0.42,38.6963,28.8696,2.933333333,3,4,3,3,3,2,3,3,3,2,4,3,3,3,2
0.44,27.8931,18.7988,2.933333333,3,4,3,3,3,2,3,3,3,2,4,3,3,3,2
0.46,14.9536,3.0518,2.933333333,3,4,3,3,3,2,3,3,3,2,4,3,3,3,2
0.48,-0.5493,-11.5356,2.933333333,3,4,3,3,3,2,3,3,3,2,4,3,3,3,2
0.5,-22.8271,-28.1372,2.933333333,3,4,3,3,3,2,3,3,3,2,4,3,3,3,2
0.52,-51.1475,-46.9971,2.933333333,3,4,3,3,3,2,3,3,3,2,4,3,3,3,2
0.54,-71.9604,-55.3589,2.933333333,3,4,3,3,3,2,3,3,3,2,4,3,3,3,2
0.56,-78.186,-56.8237,2.933333333,3,4,3,3,3,2,3,3,3,2,4,3,3,3,2
0.58,-72.3877,-41.5649,2.933333333,3,4,3,3,3,2,3,3,3,2,4,3,3,3,2
0.6,-56.9458,-24.7803,2.933333333,3,4,3,3,3,2,3,3,3,2,4,3,3,3,2
0.62,-39.1235,-42.6025,2.933333333,3,4,3,3,3,2,3,3,3,2,4,3,3,3,2
0.64,-34.8511,-57.6172,2.933333333,3,4,3,3,3,2,3,3,3,2,4,3,3,3,2
